,end_date,leg1,leg2,start_date
0,2012-12-26,RB1301,RB1305,2012-09-26
1,2013-04-25,RB1305,RB1310,2012-12-27
2,2013-09-25,RB1310,RB1401,2013-04-26
3,2013-12-26,RB1401,RB1405,2013-09-26
4,2014-04-25,RB1405,RB1410,2013-12-27
5,2014-09-25,RB1410,RB1501,2014-04-26
6,2014-12-26,RB1501,RB1505,2014-09-26
7,2015-04-25,RB1505,RB1510,2014-12-27
8,2015-09-25,RB1510,RB1601,2015-04-26
9,2015-12-26,RB1601,RB1605,2015-09-26
10,2016-04-26,RB1605,RB1610,2015-12-27
11,2016-09-27,RB1610,RB1701,2016-04-27
12,2016-12-27,RB1701,RB1705,2016-09-28
13,2017-04-25,RB1705,RB1710,2016-12-28
14,2017-09-26,RB1710,RB1801,2017-04-26
15,2017-12-26,RB1801,RB1805,2017-09-27
16,2018-04-25,RB1805,RB1810,2017-12-27
