,_para_bar_lookback,_para_n1_std,_para_n2_std,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility
0,15,1.5,2.5,0.072,0.054,1.036,0.081,0.641,0.817,22958.268,0.069,6194,1.148,0.069
31,25,2.5,4.0,0.041,0.031,1.006,0.051,0.342,0.46,21683.589,0.041,966,1.084,0.041
18,20,2.5,3.5,0.04,0.038,0.823,0.075,0.259,0.334,21604.569,0.048,1870,1.08,0.048
19,20,2.5,4.0,0.037,0.029,0.934,0.044,0.253,0.346,21516.046,0.04,1214,1.076,0.04
32,25,2.5,4.5,0.035,0.029,0.92,0.053,0.205,0.274,21420.991,0.038,618,1.071,0.038
2,15,1.5,3.5,0.037,0.047,0.682,0.066,0.195,0.234,21519.18,0.056,2712,1.076,0.056
1,15,1.5,3.0,0.036,0.053,0.568,0.101,0.15,0.184,21446.502,0.065,4180,1.072,0.065
33,25,3.0,4.0,0.032,0.03,0.798,0.057,0.124,0.165,21296.821,0.04,782,1.065,0.04
17,20,2.0,4.0,0.03,0.032,0.708,0.043,0.074,0.098,21215.533,0.043,1318,1.061,0.043
30,25,2.5,3.5,0.03,0.042,0.569,0.087,0.068,0.088,21213.185,0.054,1626,1.061,0.054
21,20,3.0,4.0,0.028,0.03,0.743,0.033,0.033,0.042,21141.487,0.038,912,1.057,0.038
14,20,1.5,3.5,0.028,0.042,0.544,0.064,0.028,0.036,21124.059,0.053,2282,1.056,0.053
3,15,2.0,3.0,0.026,0.055,0.415,0.122,0.013,0.016,21058.703,0.068,3830,1.053,0.068
16,20,2.0,3.5,0.027,0.043,0.503,0.082,0.007,0.009,21071.601,0.055,2148,1.054,0.055
6,15,2.5,3.5,0.025,0.048,0.455,0.064,-0.024,-0.028,20994.454,0.057,2110,1.05,0.057
4,15,2.0,3.5,0.021,0.049,0.389,0.096,-0.076,-0.091,20860.47,0.059,2530,1.043,0.059
12,20,1.5,2.5,0.016,0.059,0.244,0.119,-0.124,-0.157,20622.257,0.074,5272,1.031,0.074
22,20,3.0,4.5,0.021,0.024,0.673,0.028,-0.194,-0.251,20843.165,0.031,600,1.042,0.031
9,15,3.0,4.0,0.019,0.025,0.584,0.036,-0.23,-0.312,20774.092,0.034,910,1.039,0.034
20,20,2.5,4.5,0.019,0.025,0.58,0.033,-0.234,-0.314,20768.479,0.034,778,1.038,0.034
15,20,2.0,3.0,0.007,0.052,0.14,0.105,-0.272,-0.347,20284.333,0.066,3402,1.014,0.066
34,25,3.0,4.5,0.013,0.03,0.348,0.061,-0.362,-0.465,20510.681,0.038,498,1.026,0.038
29,25,2.0,4.0,0.012,0.032,0.322,0.057,-0.367,-0.453,20482.964,0.04,1016,1.024,0.04
28,25,2.0,3.5,0.005,0.044,0.127,0.102,-0.38,-0.466,20216.078,0.054,1768,1.011,0.054
7,15,2.5,4.0,0.008,0.035,0.199,0.063,-0.428,-0.534,20309.819,0.044,1362,1.015,0.044
23,20,3.0,5.0,0.014,0.021,0.554,0.037,-0.48,-0.618,20577.878,0.026,406,1.029,0.026
13,20,1.5,3.0,-0.009,0.052,-0.101,0.125,-0.521,-0.656,19656.248,0.065,3610,0.983,0.065
27,25,2.0,3.0,-0.014,0.059,-0.166,0.158,-0.547,-0.667,19433.459,0.071,2922,0.972,0.071
5,15,2.0,4.0,-0.003,0.037,-0.039,0.085,-0.625,-0.777,19883.457,0.047,1562,0.994,0.047
10,15,3.0,4.5,0.008,0.022,0.29,0.042,-0.631,-0.857,20328.187,0.03,642,1.016,0.03
8,15,2.5,4.5,0.002,0.029,0.079,0.037,-0.666,-0.833,20089.048,0.037,918,1.004,0.037
11,15,3.0,5.0,0.01,0.017,0.406,0.035,-0.729,-1.022,20381.929,0.024,460,1.019,0.024
26,25,1.5,3.5,-0.014,0.046,-0.233,0.092,-0.735,-0.868,19441.17,0.054,1844,0.972,0.054
25,25,1.5,3.0,-0.029,0.058,-0.386,0.153,-0.781,-0.934,18870.267,0.069,3078,0.944,0.069
24,25,1.5,2.5,-0.041,0.065,-0.498,0.186,-0.848,-1.016,18398.285,0.078,4564,0.92,0.078
35,25,3.0,5.0,0.001,0.022,0.052,0.033,-0.9,-1.173,20042.975,0.029,290,1.002,0.029
